Sat1_mean;Sat2_mean;Sat3_mean;Sat4_mean;Age;Manager;LineManagerCount;qMan1;qEng1;qEng2;Talent2014;Custloyalty_mean;CustSatMean_mean;INvestMore_mean;Sex
3,50;3,00;2,50;3,00;36,00;0,00;0,00;;;;0,00;3,50;3,00;2,50;1,00
3,50;3,50;3,50;3,50;45,00;0,00;0,00;4,00;5,00;4,00;0,00;3,50;3,50;3,00;2,00
3,20;3,60;3,20;3,00;41,00;0,00;0,00;;;;0,00;3,60;3,25;3,20;2,00
3,00;2,80;3,33;3,20;37,00;0,00;0,00;5,00;2,00;2,00;0,00;3,75;2,95;2,60;1,00
3,44;3,67;3,44;3,63;49,00;0,00;0,00;;;;0,00;4,00;3,56;2,88;2,00
2,50;3,00;3,00;3,00;61,00;0,00;0,00;5,00;5,00;5,00;0,00;2,50;2,88;2,00;2,00
1,00;1,00;1,00;3,00;38,00;0,00;0,00;;;;0,00;3,00;1,50;3,00;2,00
4,33;4,67;4,33;4,50;45,00;0,00;0,00;2,00;4,00;4,00;0,00;4,33;4,44;2,50;1,00
3,33;3,67;3,33;3,67;42,00;0,00;0,00;4,00;3,00;3,00;0,00;4,00;3,50;3,25;2,00
3,00;2,00;2,00;4,00;33,00;0,00;0,00;;;;0,00;5,00;2,75;3,00;1,00
2,00;2,50;3,00;2,00;49,00;0,00;0,00;5,00;5,00;4,00;0,00;2,50;2,41;2,00;2,00
3,33;3,33;3,50;4,00;31,00;0,00;0,00;3,00;4,00;3,00;0,00;3,67;3,25;3,00;1,00
3,00;4,00;4,00;4,00;41,00;0,00;0,00;5,00;5,00;4,00;1,00;5,00;3,75;3,00;2,00
3,67;4,67;4,00;3,67;36,00;0,00;0,00;3,00;3,00;2,00;0,00;4,33;4,00;2,67;1,00
3,00;2,50;3,00;2,50;44,00;0,00;0,00;5,00;5,00;5,00;0,00;2,50;2,75;2,50;2,00
3,78;4,22;3,50;3,75;42,00;0,00;0,00;4,00;1,00;4,00;0,00;4,22;3,83;3,11;2,00
3,00;3,67;3,67;3,67;34,00;0,00;0,00;;;;0,00;4,00;3,50;3,33;1,00
3,00;4,00;4,00;3,00;51,00;1,00;6,00;3,00;3,00;;0,00;4,00;3,50;3,00;2,00
3,00;4,00;3,00;3,67;33,00;0,00;0,00;2,00;1,00;2,00;0,00;3,67;3,42;2,67;1,00
2,50;4,00;2,50;3,50;34,00;0,00;0,00;;;;0,00;4,50;3,13;4,00;2,00
4,00;4,00;3,75;3,75;34,00;1,00;8,00;;;;0,00;4,67;3,88;3,00;2,00
2,88;3,38;2,88;3,43;54,00;0,00;0,00;;4,00;4,00;0,00;4,13;3,11;2,50;1,00
2,50;2,50;3,00;2,50;38,00;0,00;0,00;;;;0,00;3,00;2,63;3,50;1,00
4,00;4,50;4,50;3,50;36,00;0,00;0,00;;;;0,00;4,00;4,13;3,00;2,00
2,00;3,00;2,00;;39,00;1,00;4,00;;;;0,00;4,00;2,33;3,00;1,00
3,25;3,50;3,00;3,67;59,00;0,00;0,00;;;;0,00;4,67;3,31;3,00;2,00
3,67;4,00;3,00;4,00;52,00;0,00;0,00;4,00;4,00;4,00;1,00;3,00;3,75;3,00;1,00
3,17;3,50;3,00;3,50;51,00;1,00;9,00;4,00;4,00;2,00;0,00;3,00;3,32;2,75;2,00
4,20;4,40;4,00;4,00;46,00;0,00;0,00;5,00;2,00;2,00;0,00;3,67;4,25;2,33;2,00
3,67;3,67;3,33;3,75;44,00;0,00;0,00;;;;0,00;3,00;3,60;2,80;2,00
4,50;5,00;5,00;5,00;37,00;1,00;66,00;;;;1,00;5,00;4,88;3,00;1,00
3,50;3,50;3,00;4,14;46,00;0,00;0,00;4,00;4,00;4,00;0,00;4,14;3,49;2,57;2,00
3,08;3,42;2,75;3,83;46,00;0,00;0,00;4,00;4,00;4,00;0,00;3,43;3,16;3,43;2,00
4,00;4,17;4,00;3,60;44,00;0,00;0,00;;;;0,00;3,43;3,96;3,17;2,00
3,29;3,67;3,00;3,75;54,00;0,00;0,00;4,00;4,00;3,00;0,00;3,00;3,24;2,67;2,00
4,11;4,44;3,56;3,75;38,00;0,00;0,00;;;;0,00;3,75;3,94;3,14;2,00
2,67;3,00;2,33;3,00;47,00;0,00;0,00;5,00;4,00;3,00;0,00;2,67;2,75;1,67;2,00
4,50;4,50;4,33;4,75;51,00;0,00;0,00;4,00;5,00;4,00;0,00;4,50;4,47;3,50;2,00
3,25;3,75;3,00;3,33;44,00;0,00;0,00;;;;0,00;3,67;3,42;2,67;2,00
4,25;4,50;3,75;4,33;42,00;1,00;5,00;4,00;;2,00;0,00;3,67;4,25;3,33;1,00
4,00;4,50;4,25;4,00;38,00;1,00;7,00;5,00;4,00;4,00;0,00;4,25;4,19;3,00;2,00
3,75;4,13;3,00;3,71;45,00;0,00;0,00;;;;0,00;4,14;3,40;3,13;2,00
2,50;3,00;2,00;3,00;52,00;0,00;0,00;;;;0,00;1,50;2,63;2,00;2,00
3,60;4,20;3,00;3,67;41,00;0,00;0,00;1,00;3,00;1,00;0,00;3,67;3,57;3,33;2,00
3,00;3,86;2,43;3,33;37,00;0,00;0,00;;;;0,00;3,00;3,14;2,83;1,00
3,50;4,25;3,00;3,50;36,00;0,00;0,00;5,00;4,00;4,00;0,00;3,40;3,60;2,50;2,00
3,80;3,60;3,40;3,40;44,00;0,00;0,00;5,00;4,00;4,00;1,00;3,20;3,55;3,25;2,00
3,50;4,00;4,00;3,75;33,00;0,00;0,00;4,00;4,00;4,00;0,00;4,25;3,81;4,00;2,00
4,00;4,00;4,00;;37,00;0,00;0,00;5,00;5,00;4,00;0,00;;4,00;;2,00
3,64;3,57;3,43;3,92;31,00;0,00;0,00;3,00;3,00;3,00;1,00;4,33;3,64;3,25;2,00
4,00;4,00;4,00;4,00;37,00;0,00;0,00;;;;0,00;4,00;4,00;3,67;2,00
3,80;3,60;3,80;3,67;42,00;0,00;0,00;;;;0,00;3,33;3,73;3,33;1,00
3,00;4,00;2,00;;30,00;0,00;0,00;4,00;5,00;4,00;0,00;;3,00;;1,00
3,10;3,78;3,00;3,00;47,00;0,00;0,00;3,00;3,00;3,00;0,00;3,33;3,22;2,78;2,00
4,17;4,60;4,00;4,00;35,00;0,00;0,00;4,00;2,00;4,00;0,00;4,50;4,21;3,25;2,00
4,00;3,67;4,33;4,00;48,00;1,00;1,00;2,00;3,00;3,00;0,00;4,67;4,00;3,33;2,00
4,00;4,00;4,00;4,00;55,00;1,00;1,00;5,00;5,00;5,00;0,00;4,00;4,00;3,00;2,00
3,00;3,00;3,00;3,00;37,00;1,00;9,00;4,00;4,00;5,00;1,00;4,00;3,00;3,00;2,00
4,50;5,00;4,50;4,50;50,00;1,00;5,00;;;;0,00;4,00;4,63;4,00;2,00
3,80;4,00;3,80;4,25;49,00;0,00;0,00;;;;0,00;3,80;3,75;3,25;2,00
5,00;5,00;5,00;5,00;34,00;1,00;6,00;4,00;5,00;4,00;0,00;5,00;5,00;;2,00
4,00;4,67;4,25;4,50;44,00;0,00;0,00;4,00;;4,00;0,00;4,00;4,27;3,50;1,00
4,00;5,00;5,00;5,00;37,00;1,00;8,00;4,00;4,00;3,00;1,00;5,00;4,75;3,00;2,00
4,00;4,00;4,00;4,00;44,00;0,00;0,00;5,00;4,00;4,00;0,00;4,00;4,00;3,00;2,00
4,00;5,00;5,00;5,00;50,00;0,00;0,00;;;;0,00;5,00;4,75;3,00;2,00
3,00;3,00;3,00;4,00;35,00;0,00;0,00;3,00;4,00;3,00;0,00;4,00;3,25;4,00;2,00
